model,condition,price,quantity,seller,geographic_region,listing_age,source_url,source_type,bulk_notes,title,canonical_model,match_type,match_score,is_valid_gpu,unknown_reason,match_notes,vram_gb,tdp_w,mig_capable,slots,form_factor,nvlink,generation,cuda_cores,pcie_generation,notes,warnings,quantization_capacity,raw_score,quantization_score,score,final_score
RTX 4500,New,3631.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/graphic_bo-rtx-4500,Shopify_Wamatek,"SKU: 0195892099116, Vendor: LENOVO OPTIONS",GRAPHIC_BO RTX 4500,RTX_5000_ADA,fuzzy,0.7000000000000001,True,,fuzzy: matched 'RTX 5000' with score 87.5,32.0,250.0,4.0,2.0,Dual-slot,False,Ada,12800.0,4.0,,,,0.3776630071428571,0.0,0.3776630071428571,66.7162231431214
Lenovo NVIDIA L40S Graphic,New,50508.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/lenovo-nvidia-l40s-graphic-card-48-gb,Shopify_Wamatek,"SKU: 889488712168, Vendor: Lenovo Group Limited",Lenovo NVIDIA L40S Graphic Card - 48 GB,L4,fuzzy,0.8,True,,fuzzy: matched 'L4' with score 100.0,24.0,72.0,7.0,1.0,Single-slot,False,Ada,7680.0,4.0,,,,0.35957142857142854,0.0,0.35957142857142854,63.520247444802145
Lenovo NVIDIA Tesla P40,New,15945.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/lenovo-nvidia-tesla-p40-graphic-card-24-gb-gddr5-full-height,Shopify_Wamatek,"SKU: 7C57A02888, Vendor: Lenovo Group Limited",Lenovo NVIDIA Tesla P40 Graphic Card - 24 GB GDDR5 - Full-height,L4,fuzzy,0.6400000000000001,True,,fuzzy: matched 'NVIDIA L4' with score 80.0,24.0,72.0,7.0,1.0,Single-slot,False,Ada,7680.0,4.0,,,,0.35957142857142854,0.0,0.35957142857142854,63.520247444802145
Cisco NVIDIA L40 Graphic,New,18150.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/cisco-nvidia-l40-graphic-card-48-gb-full-height,Shopify_Wamatek,"SKU: UCSX-GPU-L40, Vendor: Cisco Systems, Inc",Cisco NVIDIA L40 Graphic Card - 48 GB - Full-height,L4,fuzzy,0.8,True,,fuzzy: matched 'L4' with score 100.0,24.0,72.0,7.0,1.0,Single-slot,False,Ada,7680.0,4.0,,,,0.35957142857142854,0.0,0.35957142857142854,63.520247444802145
Cisco NVIDIA Tesla V100,New,17873.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/cisco-nvidia-tesla-v100-graphic-card-32-gb,Shopify_Wamatek,"SKU: UCSC-GPU-V100-32=, Vendor: Cisco Systems, Inc",Cisco NVIDIA Tesla V100 Graphic Card - 32 GB,L4,fuzzy,0.6400000000000001,True,,fuzzy: matched 'NVIDIA L4' with score 80.0,24.0,72.0,7.0,1.0,Single-slot,False,Ada,7680.0,4.0,,,,0.35957142857142854,0.0,0.35957142857142854,63.520247444802145
Lenovo NVIDIA A16 Graphic,New,9907.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/lenovo-nvidia-a16-graphic-card-64-gb-gddr6-full-height,Shopify_Wamatek,"SKU: 889488591879, Vendor: Lenovo Group Limited",Lenovo NVIDIA A16 Graphic Card - 64 GB GDDR6 - Full-height,A2,fuzzy,0.7111111111111111,True,,fuzzy: matched 'NVIDIA A2' with score 88.9,16.0,60.0,7.0,1.0,Single-slot,False,Ampere,3584.0,4.0,,,,0.3385230071428571,0.0,0.3385230071428571,59.80192938272136
MSI NVIDIA GeForce 210,New,35.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/msi-nvidia-geforce-210-graphic-card-1-gb-gddr3-low-profile,Shopify_Wamatek,"SKU: N210-MD1G/D3, Vendor: MSI",MSI NVIDIA GeForce 210 Graphic Card - 1 GB GDDR3 - Low-profile,GT_710,fuzzy,0.6476190476190476,True,,fuzzy: matched 'NVIDIA GeForce GT 710' with score 81.0,2.0,19.0,0.0,1.0,Single-slot,False,Kepler,192.0,2.0,,,,0.3016387214285714,0.0,0.3016387214285714,53.286119812688206
AMX JPEG 2000,New,1425.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/amx-jpeg-2000-4k60-4-4-4-encoder,Shopify_Wamatek,"SKU: FGN2412A-SA, Vendor: Harman International Industries, Inc",AMX JPEG 2000 4K60 4:4:4 Encoder,RTX_A2000_12GB,fuzzy,0.6400000000000001,True,,fuzzy: matched 'A2000' with score 80.0,12.0,70.0,0.0,2.0,Dual-slot,False,Ampere,3328.0,4.0,,,,0.30111014999999997,0.0,0.30111014999999997,53.19274479657944
MSI NVIDIA GeForce 210,New,108.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/msi-nvidia-geforce-210-graphic-card-1-gb-gddr3-low-profile-1,Shopify_Wamatek,"SKU: 824241132142, Vendor: MSI",MSI NVIDIA GeForce 210 Graphic Card - 1 GB GDDR3 - Low-profile,GT_710,fuzzy,0.6476190476190476,True,,fuzzy: matched 'NVIDIA GeForce GT 710' with score 81.0,2.0,19.0,0.0,1.0,Single-slot,False,Kepler,192.0,2.0,,,,0.30054372142857144,0.0,0.30054372142857144,53.09268211039802
Lenovo NVIDIA Quadro K620,New,252.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/lenovo-nvidia-quadro-k620-graphic-card-2-gb,Shopify_Wamatek,"SKU: 4X60G88211, Vendor: Lenovo Group Limited",Lenovo NVIDIA Quadro K620 Graphic Card - 2 GB,T600,fuzzy,0.7111111111111111,True,,fuzzy: matched 'NVIDIA Quadro T600' with score 88.9,4.0,40.0,0.0,1.0,Single-slot,False,Turing,640.0,3.0,,,,0.3001337214285714,0.0,0.3001337214285714,53.02025338168662
GTX 1070,New,504.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/asus-rog-nvidia-geforce-gtx-1070-graphic-card-8-gb-gddr5,Shopify_Wamatek,"SKU: STRIX-GTX1070-O8G-GAMING, Vendor: ASUS Computer International",Asus ROG NVIDIA GeForce GTX 1070 Graphic Card - 8 GB GDDR5,GT_710,fuzzy,0.7619047619047619,True,,fuzzy: matched 'NVIDIA GeForce GT 710' with score 95.2,2.0,19.0,0.0,1.0,Single-slot,False,Kepler,192.0,2.0,,,,0.29460372142857144,0.0,0.29460372142857144,52.04334882126219
HP NVIDIA Quadro Sync,New,1066.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/hp-nvidia-quadro-sync-ii,Shopify_Wamatek,"SKU: 1WT20AA, Vendor: HP Inc.",HP NVIDIA Quadro Sync II,T600,fuzzy,0.6709677419354839,True,,fuzzy: matched 'NVIDIA Quadro T600' with score 83.9,4.0,40.0,0.0,1.0,Single-slot,False,Turing,640.0,3.0,,,,0.2879237214285714,0.0,0.2879237214285714,50.863290509574085
AMX NMX-ENC-N2412A-C N2400,New,1394.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/amx-nmx-enc-n2412a-c-n2400,Shopify_Wamatek,"SKU: 718878026359, Vendor: HARMAN PRO",AMX NMX-ENC-N2412A-C N2400,T400,fuzzy,0.6857142857142858,True,,fuzzy: matched 'T400' with score 85.7,4.0,31.0,0.0,1.0,Single-slot,False,Turing,384.0,3.0,,,,0.28493229285714283,0.0,0.28493229285714283,50.334838391380146
HP NVIDIA Quadro K5200,New,1916.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/hp-nvidia-quadro-k5200-graphic-card-8-gb,Shopify_Wamatek,"SKU: J1Q22AV, Vendor: HP Inc.",HP NVIDIA Quadro K5200 Graphic Card - 8 GB,T2000,fuzzy,0.7157894736842105,True,,fuzzy: matched 'NVIDIA Quadro T2000' with score 89.5,4.0,70.0,0.0,1.0,Single-slot,False,Turing,1024.0,3.0,,,,0.26874515,0.0,0.26874515,47.47529161427624
AMX NMX-WP-N1512 N1000,New,3241.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/amx-nmx-wp-n1512-n1000,Shopify_Wamatek,"SKU: 718878025734, Vendor: HARMAN PRO",AMX NMX-WP-N1512 N1000,A1000,fuzzy,0.7111111111111111,True,,fuzzy: matched 'A1000' with score 88.9,8.0,50.0,0.0,1.0,Single-slot,False,Ampere,1280.0,4.0,,,,0.2656558642857143,0.0,0.2656558642857143,46.92955249985676
Lenovo NVIDIA Quadro M5000,New,2596.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/lenovo-nvidia-quadro-m5000-graphic-card,Shopify_Wamatek,"SKU: 00YL378, Vendor: Lenovo Group Limited",Lenovo NVIDIA Quadro M5000 Graphic Card,T2000,fuzzy,0.7157894736842105,True,,fuzzy: matched 'NVIDIA Quadro T2000' with score 89.5,4.0,70.0,0.0,1.0,Single-slot,False,Turing,1024.0,3.0,,,,0.25854515,0.0,0.25854515,45.67340616828543
Lenovo NVIDIA RTX A5500,New,4700.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/lenovo-nvidia-rtx-a5500-graphic-card-24-gb-gddr6,Shopify_Wamatek,"SKU: 195892072874, Vendor: Lenovo Group Limited",Lenovo NVIDIA RTX A5500 Graphic Card - 24 GB GDDR6,A1000,fuzzy,0.7000000000000001,True,,fuzzy: matched 'NVIDIA RTX A1000' with score 87.5,8.0,50.0,0.0,1.0,Single-slot,False,Ampere,1280.0,4.0,,,,0.2437708642857143,0.0,0.2437708642857143,43.06344828559118
Lenovo NVIDIA Quadro P6000,New,10606.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/lenovo-nvidia-quadro-p6000-graphic-card-24-gb,Shopify_Wamatek,"SKU: 7C57A02895, Vendor: Lenovo Group Limited",Lenovo NVIDIA Quadro P6000 Graphic Card - 24 GB,T600,fuzzy,0.7555555555555555,True,,fuzzy: matched 'NVIDIA Quadro T600' with score 94.4,4.0,40.0,0.0,1.0,Single-slot,False,Turing,640.0,3.0,,,,0.15392857142857144,0.0,0.15392857142857144,27.19231888032353
RTX 3050,New,189.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/gigabyte-nvidia-geforce-rtx-3050-graphic-card-6-gb-gddr6-low-profile-1,Shopify_Wamatek,"SKU: 0889523041840, Vendor: GIGABYTE Technology, Inc",Gigabyte NVIDIA GeForce RTX 3050 Graphic Card - 6 GB GDDR6 - Low-profile,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,,0.14715015,0.0,0.14715015,25.99487388827107
RTX 3050,New,196.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/gigabyte-nvidia-geforce-rtx-3050-graphic-card-6-gb-gddr6-low-profile,Shopify_Wamatek,"SKU: 889523041840, Vendor: GIGABYTE Technology, Inc",Gigabyte NVIDIA GeForce RTX 3050 Graphic Card - 6 GB GDDR6 - Low-profile,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,,0.14704514999999999,0.0,0.14704514999999999,25.976325067503513
RTX 3050,New,212.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/zotac-nvidia-geforce-rtx-3050-graphic-card-6-gb-gddr6-low-profile,Shopify_Wamatek,"SKU: 810012084642, Vendor: ZOTAC International",Zotac NVIDIA GeForce RTX 3050 Graphic Card - 6 GB GDDR6 - Low-profile,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,,0.14680515,0.0,0.14680515,25.93392776289197
RTX 3050,New,217.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/geforce-rtx-3050-lp-brk-oc,Shopify_Wamatek,"SKU: 0197105515673, Vendor: ASUS - VGA NVIDIA",GEFORCE RTX 3050 LP BRK OC,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,,0.14673015,0.0,0.14673015,25.92067860520086
RTX 3050,New,223.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/asus-nvidia-geforce-rtx-3050-graphic-card-6-gb-gddr6-low-profile,Shopify_Wamatek,"SKU: 197105515673, Vendor: ASUS Computer International",Asus NVIDIA GeForce RTX 3050 Graphic Card - 6 GB GDDR6 - Low-profile,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,,0.14664015,0.0,0.14664015,25.904779615971524
RTX 4060,New,309.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/zotac-nvidia-geforce-rtx-4060-graphic-card-8-gb-gddr6-full-height-1,Shopify_Wamatek,"SKU: 0810012084000, Vendor: ZOTAC International",Zotac NVIDIA GeForce RTX 4060 Graphic Card - 8 GB GDDR6 - Full-height,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,,0.14535014999999998,0.0,0.14535014999999998,25.67689410368445
RTX 4060,New,335.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/gigabyte-nvidia-geforce-rtx-4060-graphic-card-8-gb-gddr6-low-profile,Shopify_Wamatek,"SKU: 889523039281, Vendor: GIGABYTE Technology, Inc",Gigabyte NVIDIA GeForce RTX 4060 Graphic Card - 8 GB GDDR6 - Low-profile,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,,0.14496014999999998,0.0,0.14496014999999998,25.607998483690686
RTX 4060,New,363.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/geforce-rtx-4060-lp-brk-oc,Shopify_Wamatek,"SKU: 0197105454736, Vendor: ASUS - VGA NVIDIA",GEFORCE RTX 4060 LP BRK OC,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,,0.14454015,0.0,0.14454015,25.53380320062048
RTX 4060,New,369.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/gigabyte-nvidia-geforce-rtx-4060-graphic-card-8-gb-gddr6-low-profile-1,Shopify_Wamatek,"SKU: 0889523039281, Vendor: GIGABYTE Technology, Inc",Gigabyte NVIDIA GeForce RTX 4060 Graphic Card - 8 GB GDDR6 - Low-profile,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,,0.14445015,0.0,0.14445015,25.517904211391144
RTX 4060,New,373.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/asus-nvidia-geforce-rtx-4060-graphic-card-8-gb-gddr6-low-profile,Shopify_Wamatek,"SKU: 197105454736, Vendor: ASUS Computer International",Asus NVIDIA GeForce RTX 4060 Graphic Card - 8 GB GDDR6 - Low-profile,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,,0.14439015,0.0,0.14439015,25.50730488523826
RTX 5070 Ti,New,781.99,Available,Wamatek,USA,Current,https://wamatek.com/products/pny-geforce-rtx-5070-ti-graphic-card-16-gb-gddr7-full-height,Shopify_Wamatek,"SKU: 0751492794600, Vendor: PNY Technologies",PNY GeForce RTX 5070 Ti Graphic Card - 16 GB GDDR7 - Full-height,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,,0.13827014999999998,0.0,0.13827014999999998,24.42617361764377

