model,condition,price,quantity,seller,geographic_region,listing_age,source_url,source_type,bulk_notes,title,canonical_model,match_type,match_score,is_valid_gpu,unknown_reason,match_notes
Cisco NVIDIA Tesla A100,New,34201.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/cisco-nvidia-tesla-a100-graphic-card-80-gb-1,Shopify_Wamatek,"SKU: UCSX-GPUA100-80-D, Vendor: Cisco Systems, Inc",Cisco NVIDIA Tesla A100 Graphic Card - 80 GB,A1000,regex,0.9,True,,regex: matched pattern 'A1000' on text 'A100'
AMX NMX-WP-N1512 N1000,New,3241.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/amx-nmx-wp-n1512-n1000,Shopify_Wamatek,"SKU: 718878025734, Vendor: HARMAN PRO",AMX NMX-WP-N1512 N1000,A1000,fuzzy,0.7111111111111111,True,,fuzzy: matched 'A1000' with score 88.9
RTX 4500,New,2883.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/nvidia-rtx-4500-ada-24gb-4dp,Shopify_Wamatek,"SKU: 196548777969, Vendor: HP INC. - NSB OPTIONS",NVIDIA RTX 4500 ADA 24GB 4DP,RTX_5000_ADA,regex,0.9,True,,regex: matched pattern 'RTX_5000_ADA' on text 'NVIDIA RTX 4500 ADA'
NV A5000 GRAPHICS CARD,New,2641.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/nv-a5000-graphics-card,Shopify_Wamatek,"SKU: 195892022633, Vendor: LENOVO OPTIONS",NV A5000 GRAPHICS CARD,RTX_A6000,fuzzy,0.6400000000000001,True,,fuzzy: matched 'A6000' with score 80.0
Lenovo NVIDIA Quadro M5000,New,2596.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/lenovo-nvidia-quadro-m5000-graphic-card,Shopify_Wamatek,"SKU: 00YL378, Vendor: Lenovo Group Limited",Lenovo NVIDIA Quadro M5000 Graphic Card,T2000,fuzzy,0.7157894736842105,True,,fuzzy: matched 'NVIDIA Quadro T2000' with score 89.5
NVIDIA L4 PCIE RETAIL,New,2423.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/nvidia-l4-pcie-retail-scb,Shopify_Wamatek,"SKU: 0751492767147, Vendor: PNY QUADRO",NVIDIA L4 PCIE RETAIL SCB,UNKNOWN,none,0.0,False,Contains 'scb' - likely connector/bridge accessory,
HP NVIDIA Quadro K5200,New,1916.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/hp-nvidia-quadro-k5200-graphic-card-8-gb,Shopify_Wamatek,"SKU: J1Q22AV, Vendor: HP Inc.",HP NVIDIA Quadro K5200 Graphic Card - 8 GB,T2000,fuzzy,0.7157894736842105,True,,fuzzy: matched 'NVIDIA Quadro T2000' with score 89.5
RTX 5070 Ti,New,781.99,Available,Wamatek,USA,Current,https://wamatek.com/products/pny-geforce-rtx-5070-ti-graphic-card-16-gb-gddr7-full-height,Shopify_Wamatek,"SKU: 0751492794600, Vendor: PNY Technologies",PNY GeForce RTX 5070 Ti Graphic Card - 16 GB GDDR7 - Full-height,UNKNOWN,none,0.0,False,Incomplete GPU model name - missing specific model number,
HPE Ingram Micro Sourcing,New,612.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/hpe-ingram-micro-sourcing-nvidia-grid-p4-graphic-card-8-gb-gddr5,Shopify_Wamatek,"SKU: Q0V79A-RF, Vendor: HPE SOURCING - CERTIFIED PRE-OWNED",HPE Ingram Micro Sourcing NVIDIA GRID P4 Graphic Card - 8 GB GDDR5,L4,fuzzy,0.6400000000000001,True,,fuzzy: matched 'NVIDIA L4' with score 80.0
GTX 1070,New,504.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/asus-rog-nvidia-geforce-gtx-1070-graphic-card-8-gb-gddr5,Shopify_Wamatek,"SKU: STRIX-GTX1070-O8G-GAMING, Vendor: ASUS Computer International",Asus ROG NVIDIA GeForce GTX 1070 Graphic Card - 8 GB GDDR5,GT_710,fuzzy,0.7619047619047619,True,,fuzzy: matched 'NVIDIA GeForce GT 710' with score 95.2
RTX 4060,New,363.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/geforce-rtx-4060-lp-brk-oc,Shopify_Wamatek,"SKU: 0197105454736, Vendor: ASUS - VGA NVIDIA",GEFORCE RTX 4060 LP BRK OC,UNKNOWN,none,0.0,False,Incomplete GPU model name - missing specific model number,
RTX 3050,New,223.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/asus-nvidia-geforce-rtx-3050-graphic-card-6-gb-gddr6-low-profile,Shopify_Wamatek,"SKU: 197105515673, Vendor: ASUS Computer International",Asus NVIDIA GeForce RTX 3050 Graphic Card - 6 GB GDDR6 - Low-profile,UNKNOWN,none,0.0,False,Incomplete GPU model name - missing specific model number,
RTX 3050,New,217.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/geforce-rtx-3050-lp-brk-oc,Shopify_Wamatek,"SKU: 0197105515673, Vendor: ASUS - VGA NVIDIA",GEFORCE RTX 3050 LP BRK OC,UNKNOWN,none,0.0,False,Incomplete GPU model name - missing specific model number,
RTX 3050,New,212.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/zotac-nvidia-geforce-rtx-3050-graphic-card-6-gb-gddr6-low-profile,Shopify_Wamatek,"SKU: 810012084642, Vendor: ZOTAC International",Zotac NVIDIA GeForce RTX 3050 Graphic Card - 6 GB GDDR6 - Low-profile,UNKNOWN,none,0.0,False,Incomplete GPU model name - missing specific model number,
HP NVIDIA RTX A400,New,207.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/hp-nvidia-rtx-a400-graphic-card-4-gb-gddr6,Shopify_Wamatek,"SKU: AV8J3AA, Vendor: HP Inc.",HP NVIDIA RTX A400 Graphic Card - 4 GB GDDR6,RTX_4000_SFF_ADA,regex,0.9,True,,regex: matched pattern 'RTX_4000_SFF_ADA' on text 'RTX A400'
NVIDIA RTX A400 4GB,New,196.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/nvidia-rtx-a400-4gb-4mdp-gfx,Shopify_Wamatek,"SKU: 198701689911, Vendor: HP INC. - NSB OPTIONS",NVIDIA RTX A400 4GB 4MDP GFX,RTX_4000_SFF_ADA,regex,0.9,True,,regex: matched pattern 'RTX_4000_SFF_ADA' on text 'RTX A400'
RTX 3050,New,196.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/gigabyte-nvidia-geforce-rtx-3050-graphic-card-6-gb-gddr6-low-profile,Shopify_Wamatek,"SKU: 889523041840, Vendor: GIGABYTE Technology, Inc",Gigabyte NVIDIA GeForce RTX 3050 Graphic Card - 6 GB GDDR6 - Low-profile,UNKNOWN,none,0.0,False,Incomplete GPU model name - missing specific model number,
NV RTX A400 4GB,New,192.99,Available,Wamatek,USA,Current,https://wamatek.com/products/nv-rtx-a400-4gb-gpu,Shopify_Wamatek,"SKU: 195892109709, Vendor: Lenovo",NV RTX A400 4GB GPU,RTX_4000_SFF_ADA,regex,0.9,True,,regex: matched pattern 'RTX_4000_SFF_ADA' on text 'RTX A400'
NVIDIA RTX A400 RETAIL,New,160.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/nvidia-rtx-a400-retail-pack,Shopify_Wamatek,"SKU: 751492788067, Vendor: PNY QUADRO",NVIDIA RTX A400 RETAIL PACK,RTX_4000_SFF_ADA,regex,0.9,True,,regex: matched pattern 'RTX_4000_SFF_ADA' on text 'RTX A400'
NVIDIA RTX A400 BOARD,New,146.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/nvidia-rtx-a400-board-only,Shopify_Wamatek,"SKU: 751492790688, Vendor: PNY QUADRO",NVIDIA RTX A400 BOARD ONLY,RTX_4000_SFF_ADA,regex,0.9,True,,regex: matched pattern 'RTX_4000_SFF_ADA' on text 'RTX A400'
MSI NVIDIA GeForce 210,New,108.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/msi-nvidia-geforce-210-graphic-card-1-gb-gddr3-low-profile-1,Shopify_Wamatek,"SKU: 824241132142, Vendor: MSI",MSI NVIDIA GeForce 210 Graphic Card - 1 GB GDDR3 - Low-profile,GT_710,fuzzy,0.6476190476190476,True,,fuzzy: matched 'NVIDIA GeForce GT 710' with score 81.0
