Preset_Config,Card_Name,Current_Retail_Price_USD,VRAM_GB,MIG_Support,TDP_Watts,Slot_Width,NVLink_Support,CUDA_Cores,Generation,PCIe_Generation,Composite_Score,Price_Efficiency_Score,VRAM_Score,MIG_Score,Power_Efficiency_Score,Form_Factor_Score,Connectivity_Score,Weight_Price_Efficiency,Weight_VRAM_Capacity,Weight_MIG_Capability,Weight_Power_Efficiency,Weight_Form_Factor,Weight_Connectivity
balanced,RTX 6000 Ada,7200,48,4,300,2,1,18176,Ada,4,50.81,23.2,50.0,57.14,56.8,66.67,75.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,RTX 5000 Ada,6650,32,4,250,2,0,12800,Ada,4,37.28,17.69,33.33,57.14,48.0,66.67,25.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,RTX 4500 Ada,2350,24,4,210,2,0,7680,Ada,4,36.64,30.04,25.0,57.14,34.29,66.67,25.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,RTX 4000 Ada SFF,1250,20,4,70,2,0,6144,Ada,4,46.79,45.18,20.83,57.14,82.29,66.67,25.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,RTX A6000,4950,48,0,300,2,1,10752,Ampere,4,37.95,19.96,50.0,0.0,33.6,66.67,75.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,RTX A5500,2500,24,0,230,2,1,7424,Ampere,4,34.28,27.29,25.0,0.0,30.26,66.67,75.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,RTX A5000,2400,24,0,230,2,1,8192,Ampere,4,35.77,31.37,25.0,0.0,33.39,66.67,75.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,RTX A4500,1800,20,0,200,2,1,7168,Ampere,4,36.27,36.6,20.83,0.0,33.6,66.67,75.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,RTX A4000,1000,16,0,140,1,0,6144,Ampere,4,37.37,56.47,16.67,0.0,41.14,100.0,25.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,RTX A2000 12GB,620,12,0,70,2,0,3328,Ampere,4,31.94,49.34,12.5,0.0,44.57,66.67,25.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,RTX A2000 6GB,560,6,0,70,2,0,3328,Ampere,4,32.01,54.62,6.25,0.0,44.57,66.67,25.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,L40S,15000,48,7,350,2,0,18176,Ada,4,45.5,11.14,50.0,100.0,48.69,66.67,25.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,L40,12000,48,7,300,1,0,18176,Ada,4,50.75,13.92,50.0,100.0,56.8,100.0,25.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,A800 40GB,20000,40,7,300,2,1,10752,Ampere,4,47.53,4.94,41.67,100.0,33.6,66.67,75.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,A40,4500,48,7,300,2,0,10752,Ampere,4,45.95,21.96,50.0,100.0,33.6,66.67,25.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,H100 PCIe 80GB,30000,80,7,350,2,0,16896,Hopper,5,53.92,5.18,83.33,100.0,45.26,66.67,50.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,H800 PCIe 80GB,30000,80,7,350,2,0,14592,Hopper,5,52.81,4.47,83.33,100.0,39.09,66.67,50.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,T1000 8GB,280,8,0,50,1,0,896,Turing,3,21.54,29.41,8.33,0.0,16.8,100.0,0.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,T1000 4GB,250,4,0,50,1,0,896,Turing,3,21.59,32.94,4.17,0.0,16.8,100.0,0.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,T600,150,4,0,40,1,0,640,Turing,3,22.89,39.22,4.17,0.0,15.0,100.0,0.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,T400,120,2,0,30,1,0,512,Turing,3,22.62,39.22,2.08,0.0,16.0,100.0,0.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,L4,3500,24,7,72,1,0,7680,Ada,4,53.79,20.17,25.0,100.0,100.0,100.0,25.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,A2,2800,16,7,60,1,0,3584,Ampere,4,43.42,11.76,16.67,100.0,56.0,100.0,25.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,RTX 4090,1650,24,0,450,3,0,16384,Ada,4,40.02,91.27,25.0,0.0,34.13,33.33,25.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,RTX 5090,2000,32,0,575,2,0,21760,Blackwell,5,51.16,100.0,33.33,0.0,35.48,66.67,50.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,RTX PRO 6000 Blackwell,8900,96,4,400,2,1,20480,Blackwell,5,62.73,21.15,100.0,57.14,48.0,66.67,100.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,RTX PRO 5000 Blackwell,6000,48,4,320,2,0,15360,Blackwell,5,45.37,23.53,50.0,57.14,45.0,66.67,50.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,RTX PRO 4500 Blackwell,4000,32,4,250,2,0,10240,Blackwell,5,41.05,23.53,33.33,57.14,38.4,66.67,50.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,RTX PRO 4000 Blackwell,2500,24,4,180,2,0,7680,Blackwell,5,40.8,28.24,25.0,57.14,40.0,66.67,50.0,0.25,0.2,0.15,0.15,0.1,0.15
ai_training,RTX 6000 Ada,7200,48,4,300,2,1,18176,Ada,4,53.03,23.2,50.0,57.14,56.8,66.67,75.0,0.15,0.3,0.25,0.1,0.05,0.15
ai_training,RTX 5000 Ada,6650,32,4,250,2,0,12800,Ada,4,38.82,17.69,33.33,57.14,48.0,66.67,25.0,0.15,0.3,0.25,0.1,0.05,0.15
ai_training,RTX 4500 Ada,2350,24,4,210,2,0,7680,Ada,4,36.8,30.04,25.0,57.14,34.29,66.67,25.0,0.15,0.3,0.25,0.1,0.05,0.15
ai_training,RTX 4000 Ada SFF,1250,20,4,70,2,0,6144,Ada,4,42.62,45.18,20.83,57.14,82.29,66.67,25.0,0.15,0.3,0.25,0.1,0.05,0.15
ai_training,RTX A6000,4950,48,0,300,2,1,10752,Ampere,4,35.94,19.96,50.0,0.0,33.6,66.67,75.0,0.15,0.3,0.25,0.1,0.05,0.15
ai_training,RTX A5500,2500,24,0,230,2,1,7424,Ampere,4,29.2,27.29,25.0,0.0,30.26,66.67,75.0,0.15,0.3,0.25,0.1,0.05,0.15
ai_training,RTX A5000,2400,24,0,230,2,1,8192,Ampere,4,30.13,31.37,25.0,0.0,33.39,66.67,75.0,0.15,0.3,0.25,0.1,0.05,0.15
ai_training,RTX A4500,1800,20,0,200,2,1,7168,Ampere,4,29.68,36.6,20.83,0.0,33.6,66.67,75.0,0.15,0.3,0.25,0.1,0.05,0.15
ai_training,RTX A4000,1000,16,0,140,1,0,6144,Ampere,4,26.33,56.47,16.67,0.0,41.14,100.0,25.0,0.15,0.3,0.25,0.1,0.05,0.15
ai_training,RTX A2000 12GB,620,12,0,70,2,0,3328,Ampere,4,22.69,49.34,12.5,0.0,44.57,66.67,25.0,0.15,0.3,0.25,0.1,0.05,0.15
ai_training,RTX A2000 6GB,560,6,0,70,2,0,3328,Ampere,4,21.61,54.62,6.25,0.0,44.57,66.67,25.0,0.15,0.3,0.25,0.1,0.05,0.15
ai_training,L40S,15000,48,7,350,2,0,18176,Ada,4,53.62,11.14,50.0,100.0,48.69,66.67,25.0,0.15,0.3,0.25,0.1,0.05,0.15
ai_training,L40,12000,48,7,300,1,0,18176,Ada,4,56.52,13.92,50.0,100.0,56.8,100.0,25.0,0.15,0.3,0.25,0.1,0.05,0.15
ai_training,A800 40GB,20000,40,7,300,2,1,10752,Ampere,4,56.18,4.94,41.67,100.0,33.6,66.67,75.0,0.15,0.3,0.25,0.1,0.05,0.15
ai_training,A40,4500,48,7,300,2,0,10752,Ampere,4,53.74,21.96,50.0,100.0,33.6,66.67,25.0,0.15,0.3,0.25,0.1,0.05,0.15
ai_training,H100 PCIe 80GB,30000,80,7,350,2,0,16896,Hopper,5,66.14,5.18,83.33,100.0,45.26,66.67,50.0,0.15,0.3,0.25,0.1,0.05,0.15
ai_training,H800 PCIe 80GB,30000,80,7,350,2,0,14592,Hopper,5,65.41,4.47,83.33,100.0,39.09,66.67,50.0,0.15,0.3,0.25,0.1,0.05,0.15
ai_training,T1000 8GB,280,8,0,50,1,0,896,Turing,3,13.59,29.41,8.33,0.0,16.8,100.0,0.0,0.15,0.3,0.25,0.1,0.05,0.15
ai_training,T1000 4GB,250,4,0,50,1,0,896,Turing,3,12.87,32.94,4.17,0.0,16.8,100.0,0.0,0.15,0.3,0.25,0.1,0.05,0.15
ai_training,T600,150,4,0,40,1,0,640,Turing,3,13.63,39.22,4.17,0.0,15.0,100.0,0.0,0.15,0.3,0.25,0.1,0.05,0.15
ai_training,T400,120,2,0,30,1,0,512,Turing,3,13.11,39.22,2.08,0.0,16.0,100.0,0.0,0.15,0.3,0.25,0.1,0.05,0.15
ai_training,L4,3500,24,7,72,1,0,7680,Ada,4,54.28,20.17,25.0,100.0,100.0,100.0,25.0,0.15,0.3,0.25,0.1,0.05,0.15
ai_training,A2,2800,16,7,60,1,0,3584,Ampere,4,46.11,11.76,16.67,100.0,56.0,100.0,25.0,0.15,0.3,0.25,0.1,0.05,0.15
ai_training,RTX 4090,1650,24,0,450,3,0,16384,Ada,4,30.02,91.27,25.0,0.0,34.13,33.33,25.0,0.15,0.3,0.25,0.1,0.05,0.15
ai_training,RTX 5090,2000,32,0,575,2,0,21760,Blackwell,5,39.38,100.0,33.33,0.0,35.48,66.67,50.0,0.15,0.3,0.25,0.1,0.05,0.15
ai_training,RTX PRO 6000 Blackwell,8900,96,4,400,2,1,20480,Blackwell,5,70.59,21.15,100.0,57.14,48.0,66.67,100.0,0.15,0.3,0.25,0.1,0.05,0.15
ai_training,RTX PRO 5000 Blackwell,6000,48,4,320,2,0,15360,Blackwell,5,48.15,23.53,50.0,57.14,45.0,66.67,50.0,0.15,0.3,0.25,0.1,0.05,0.15
ai_training,RTX PRO 4500 Blackwell,4000,32,4,250,2,0,10240,Blackwell,5,42.49,23.53,33.33,57.14,38.4,66.67,50.0,0.15,0.3,0.25,0.1,0.05,0.15
ai_training,RTX PRO 4000 Blackwell,2500,24,4,180,2,0,7680,Blackwell,5,40.85,28.24,25.0,57.14,40.0,66.67,50.0,0.15,0.3,0.25,0.1,0.05,0.15
budget_conscious,RTX 6000 Ada,7200,48,4,300,2,1,18176,Ada,4,44.27,23.2,50.0,57.14,56.8,66.67,75.0,0.4,0.15,0.1,0.2,0.1,0.05
budget_conscious,RTX 5000 Ada,6650,32,4,250,2,0,12800,Ada,4,35.31,17.69,33.33,57.14,48.0,66.67,25.0,0.4,0.15,0.1,0.2,0.1,0.05
budget_conscious,RTX 4500 Ada,2350,24,4,210,2,0,7680,Ada,4,36.25,30.04,25.0,57.14,34.29,66.67,25.0,0.4,0.15,0.1,0.2,0.1,0.05
budget_conscious,RTX 4000 Ada SFF,1250,20,4,70,2,0,6144,Ada,4,51.28,45.18,20.83,57.14,82.29,66.67,25.0,0.4,0.15,0.1,0.2,0.1,0.05
budget_conscious,RTX A6000,4950,48,0,300,2,1,10752,Ampere,4,32.62,19.96,50.0,0.0,33.6,66.67,75.0,0.4,0.15,0.1,0.2,0.1,0.05
budget_conscious,RTX A5500,2500,24,0,230,2,1,7424,Ampere,4,31.14,27.29,25.0,0.0,30.26,66.67,75.0,0.4,0.15,0.1,0.2,0.1,0.05
budget_conscious,RTX A5000,2400,24,0,230,2,1,8192,Ampere,4,33.39,31.37,25.0,0.0,33.39,66.67,75.0,0.4,0.15,0.1,0.2,0.1,0.05
budget_conscious,RTX A4500,1800,20,0,200,2,1,7168,Ampere,4,34.9,36.6,20.83,0.0,33.6,66.67,75.0,0.4,0.15,0.1,0.2,0.1,0.05
budget_conscious,RTX A4000,1000,16,0,140,1,0,6144,Ampere,4,44.57,56.47,16.67,0.0,41.14,100.0,25.0,0.4,0.15,0.1,0.2,0.1,0.05
budget_conscious,RTX A2000 12GB,620,12,0,70,2,0,3328,Ampere,4,38.44,49.34,12.5,0.0,44.57,66.67,25.0,0.4,0.15,0.1,0.2,0.1,0.05
budget_conscious,RTX A2000 6GB,560,6,0,70,2,0,3328,Ampere,4,39.62,54.62,6.25,0.0,44.57,66.67,25.0,0.4,0.15,0.1,0.2,0.1,0.05
budget_conscious,L40S,15000,48,7,350,2,0,18176,Ada,4,39.61,11.14,50.0,100.0,48.69,66.67,25.0,0.4,0.15,0.1,0.2,0.1,0.05
budget_conscious,L40,12000,48,7,300,1,0,18176,Ada,4,45.68,13.92,50.0,100.0,56.8,100.0,25.0,0.4,0.15,0.1,0.2,0.1,0.05
budget_conscious,A800 40GB,20000,40,7,300,2,1,10752,Ampere,4,35.36,4.94,41.67,100.0,33.6,66.67,75.0,0.4,0.15,0.1,0.2,0.1,0.05
budget_conscious,A40,4500,48,7,300,2,0,10752,Ampere,4,40.92,21.96,50.0,100.0,33.6,66.67,25.0,0.4,0.15,0.1,0.2,0.1,0.05
budget_conscious,H100 PCIe 80GB,30000,80,7,350,2,0,16896,Hopper,5,42.79,5.18,83.33,100.0,45.26,66.67,50.0,0.4,0.15,0.1,0.2,0.1,0.05
budget_conscious,H800 PCIe 80GB,30000,80,7,350,2,0,14592,Hopper,5,41.27,4.47,83.33,100.0,39.09,66.67,50.0,0.4,0.15,0.1,0.2,0.1,0.05
budget_conscious,T1000 8GB,280,8,0,50,1,0,896,Turing,3,26.37,29.41,8.33,0.0,16.8,100.0,0.0,0.4,0.15,0.1,0.2,0.1,0.05
budget_conscious,T1000 4GB,250,4,0,50,1,0,896,Turing,3,27.16,32.94,4.17,0.0,16.8,100.0,0.0,0.4,0.15,0.1,0.2,0.1,0.05
budget_conscious,T600,150,4,0,40,1,0,640,Turing,3,29.31,39.22,4.17,0.0,15.0,100.0,0.0,0.4,0.15,0.1,0.2,0.1,0.05
budget_conscious,T400,120,2,0,30,1,0,512,Turing,3,29.2,39.22,2.08,0.0,16.0,100.0,0.0,0.4,0.15,0.1,0.2,0.1,0.05
budget_conscious,L4,3500,24,7,72,1,0,7680,Ada,4,53.07,20.17,25.0,100.0,100.0,100.0,25.0,0.4,0.15,0.1,0.2,0.1,0.05
budget_conscious,A2,2800,16,7,60,1,0,3584,Ampere,4,39.66,11.76,16.67,100.0,56.0,100.0,25.0,0.4,0.15,0.1,0.2,0.1,0.05
budget_conscious,RTX 4090,1650,24,0,450,3,0,16384,Ada,4,51.67,91.27,25.0,0.0,34.13,33.33,25.0,0.4,0.15,0.1,0.2,0.1,0.05
budget_conscious,RTX 5090,2000,32,0,575,2,0,21760,Blackwell,5,61.26,100.0,33.33,0.0,35.48,66.67,50.0,0.4,0.15,0.1,0.2,0.1,0.05
budget_conscious,RTX PRO 6000 Blackwell,8900,96,4,400,2,1,20480,Blackwell,5,50.44,21.15,100.0,57.14,48.0,66.67,100.0,0.4,0.15,0.1,0.2,0.1,0.05
budget_conscious,RTX PRO 5000 Blackwell,6000,48,4,320,2,0,15360,Blackwell,5,40.79,23.53,50.0,57.14,45.0,66.67,50.0,0.4,0.15,0.1,0.2,0.1,0.05
budget_conscious,RTX PRO 4500 Blackwell,4000,32,4,250,2,0,10240,Blackwell,5,36.97,23.53,33.33,57.14,38.4,66.67,50.0,0.4,0.15,0.1,0.2,0.1,0.05
budget_conscious,RTX PRO 4000 Blackwell,2500,24,4,180,2,0,7680,Blackwell,5,37.93,28.24,25.0,57.14,40.0,66.67,50.0,0.4,0.15,0.1,0.2,0.1,0.05
enterprise_efficiency,RTX 6000 Ada,7200,48,4,300,2,1,18176,Ada,4,50.72,23.2,50.0,57.14,56.8,66.67,75.0,0.2,0.2,0.3,0.15,0.1,0.05
enterprise_efficiency,RTX 5000 Ada,6650,32,4,250,2,0,12800,Ada,4,42.46,17.69,33.33,57.14,48.0,66.67,25.0,0.2,0.2,0.3,0.15,0.1,0.05
enterprise_efficiency,RTX 4500 Ada,2350,24,4,210,2,0,7680,Ada,4,41.21,30.04,25.0,57.14,34.29,66.67,25.0,0.2,0.2,0.3,0.15,0.1,0.05
enterprise_efficiency,RTX 4000 Ada SFF,1250,20,4,70,2,0,6144,Ada,4,50.6,45.18,20.83,57.14,82.29,66.67,25.0,0.2,0.2,0.3,0.15,0.1,0.05
enterprise_efficiency,RTX A6000,4950,48,0,300,2,1,10752,Ampere,4,29.45,19.96,50.0,0.0,33.6,66.67,75.0,0.2,0.2,0.3,0.15,0.1,0.05
enterprise_efficiency,RTX A5500,2500,24,0,230,2,1,7424,Ampere,4,25.41,27.29,25.0,0.0,30.26,66.67,75.0,0.2,0.2,0.3,0.15,0.1,0.05
enterprise_efficiency,RTX A5000,2400,24,0,230,2,1,8192,Ampere,4,26.7,31.37,25.0,0.0,33.39,66.67,75.0,0.2,0.2,0.3,0.15,0.1,0.05
enterprise_efficiency,RTX A4500,1800,20,0,200,2,1,7168,Ampere,4,26.94,36.6,20.83,0.0,33.6,66.67,75.0,0.2,0.2,0.3,0.15,0.1,0.05
enterprise_efficiency,RTX A4000,1000,16,0,140,1,0,6144,Ampere,4,32.05,56.47,16.67,0.0,41.14,100.0,25.0,0.2,0.2,0.3,0.15,0.1,0.05
enterprise_efficiency,RTX A2000 12GB,620,12,0,70,2,0,3328,Ampere,4,26.97,49.34,12.5,0.0,44.57,66.67,25.0,0.2,0.2,0.3,0.15,0.1,0.05
enterprise_efficiency,RTX A2000 6GB,560,6,0,70,2,0,3328,Ampere,4,26.78,54.62,6.25,0.0,44.57,66.67,25.0,0.2,0.2,0.3,0.15,0.1,0.05
enterprise_efficiency,L40S,15000,48,7,350,2,0,18176,Ada,4,57.45,11.14,50.0,100.0,48.69,66.67,25.0,0.2,0.2,0.3,0.15,0.1,0.05
enterprise_efficiency,L40,12000,48,7,300,1,0,18176,Ada,4,62.55,13.92,50.0,100.0,56.8,100.0,25.0,0.2,0.2,0.3,0.15,0.1,0.05
enterprise_efficiency,A800 40GB,20000,40,7,300,2,1,10752,Ampere,4,54.78,4.94,41.67,100.0,33.6,66.67,75.0,0.2,0.2,0.3,0.15,0.1,0.05
enterprise_efficiency,A40,4500,48,7,300,2,0,10752,Ampere,4,57.35,21.96,50.0,100.0,33.6,66.67,25.0,0.2,0.2,0.3,0.15,0.1,0.05
enterprise_efficiency,H100 PCIe 80GB,30000,80,7,350,2,0,16896,Hopper,5,63.66,5.18,83.33,100.0,45.26,66.67,50.0,0.2,0.2,0.3,0.15,0.1,0.05
enterprise_efficiency,H800 PCIe 80GB,30000,80,7,350,2,0,14592,Hopper,5,62.59,4.47,83.33,100.0,39.09,66.67,50.0,0.2,0.2,0.3,0.15,0.1,0.05
enterprise_efficiency,T1000 8GB,280,8,0,50,1,0,896,Turing,3,20.07,29.41,8.33,0.0,16.8,100.0,0.0,0.2,0.2,0.3,0.15,0.1,0.05
enterprise_efficiency,T1000 4GB,250,4,0,50,1,0,896,Turing,3,19.94,32.94,4.17,0.0,16.8,100.0,0.0,0.2,0.2,0.3,0.15,0.1,0.05
enterprise_efficiency,T600,150,4,0,40,1,0,640,Turing,3,20.93,39.22,4.17,0.0,15.0,100.0,0.0,0.2,0.2,0.3,0.15,0.1,0.05
enterprise_efficiency,T400,120,2,0,30,1,0,512,Turing,3,20.66,39.22,2.08,0.0,16.0,100.0,0.0,0.2,0.2,0.3,0.15,0.1,0.05
enterprise_efficiency,L4,3500,24,7,72,1,0,7680,Ada,4,65.28,20.17,25.0,100.0,100.0,100.0,25.0,0.2,0.2,0.3,0.15,0.1,0.05
enterprise_efficiency,A2,2800,16,7,60,1,0,3584,Ampere,4,55.34,11.76,16.67,100.0,56.0,100.0,25.0,0.2,0.2,0.3,0.15,0.1,0.05
enterprise_efficiency,RTX 4090,1650,24,0,450,3,0,16384,Ada,4,32.96,91.27,25.0,0.0,34.13,33.33,25.0,0.2,0.2,0.3,0.15,0.1,0.05
enterprise_efficiency,RTX 5090,2000,32,0,575,2,0,21760,Blackwell,5,41.16,100.0,33.33,0.0,35.48,66.67,50.0,0.2,0.2,0.3,0.15,0.1,0.05
enterprise_efficiency,RTX PRO 6000 Blackwell,8900,96,4,400,2,1,20480,Blackwell,5,60.24,21.15,100.0,57.14,48.0,66.67,100.0,0.2,0.2,0.3,0.15,0.1,0.05
enterprise_efficiency,RTX PRO 5000 Blackwell,6000,48,4,320,2,0,15360,Blackwell,5,47.77,23.53,50.0,57.14,45.0,66.67,50.0,0.2,0.2,0.3,0.15,0.1,0.05
enterprise_efficiency,RTX PRO 4500 Blackwell,4000,32,4,250,2,0,10240,Blackwell,5,43.44,23.53,33.33,57.14,38.4,66.67,50.0,0.2,0.2,0.3,0.15,0.1,0.05
enterprise_efficiency,RTX PRO 4000 Blackwell,2500,24,4,180,2,0,7680,Blackwell,5,42.96,28.24,25.0,57.14,40.0,66.67,50.0,0.2,0.2,0.3,0.15,0.1,0.05
compact_workstation,RTX 6000 Ada,7200,48,4,300,2,1,18176,Ada,4,52.47,23.2,50.0,57.14,56.8,66.67,75.0,0.2,0.15,0.1,0.25,0.25,0.05
compact_workstation,RTX 5000 Ada,6650,32,4,250,2,0,12800,Ada,4,44.17,17.69,33.33,57.14,48.0,66.67,25.0,0.2,0.15,0.1,0.25,0.25,0.05
compact_workstation,RTX 4500 Ada,2350,24,4,210,2,0,7680,Ada,4,41.96,30.04,25.0,57.14,34.29,66.67,25.0,0.2,0.15,0.1,0.25,0.25,0.05
compact_workstation,RTX 4000 Ada SFF,1250,20,4,70,2,0,6144,Ada,4,56.36,45.18,20.83,57.14,82.29,66.67,25.0,0.2,0.15,0.1,0.25,0.25,0.05
compact_workstation,RTX A6000,4950,48,0,300,2,1,10752,Ampere,4,40.31,19.96,50.0,0.0,33.6,66.67,75.0,0.2,0.15,0.1,0.25,0.25,0.05
compact_workstation,RTX A5500,2500,24,0,230,2,1,7424,Ampere,4,37.19,27.29,25.0,0.0,30.26,66.67,75.0,0.2,0.15,0.1,0.25,0.25,0.05
compact_workstation,RTX A5000,2400,24,0,230,2,1,8192,Ampere,4,38.79,31.37,25.0,0.0,33.39,66.67,75.0,0.2,0.15,0.1,0.25,0.25,0.05
compact_workstation,RTX A4500,1800,20,0,200,2,1,7168,Ampere,4,39.26,36.6,20.83,0.0,33.6,66.67,75.0,0.2,0.15,0.1,0.25,0.25,0.05
compact_workstation,RTX A4000,1000,16,0,140,1,0,6144,Ampere,4,50.33,56.47,16.67,0.0,41.14,100.0,25.0,0.2,0.15,0.1,0.25,0.25,0.05
compact_workstation,RTX A2000 12GB,620,12,0,70,2,0,3328,Ampere,4,40.8,49.34,12.5,0.0,44.57,66.67,25.0,0.2,0.15,0.1,0.25,0.25,0.05
compact_workstation,RTX A2000 6GB,560,6,0,70,2,0,3328,Ampere,4,40.92,54.62,6.25,0.0,44.57,66.67,25.0,0.2,0.15,0.1,0.25,0.25,0.05
compact_workstation,L40S,15000,48,7,350,2,0,18176,Ada,4,49.82,11.14,50.0,100.0,48.69,66.67,25.0,0.2,0.15,0.1,0.25,0.25,0.05
compact_workstation,L40,12000,48,7,300,1,0,18176,Ada,4,60.73,13.92,50.0,100.0,56.8,100.0,25.0,0.2,0.15,0.1,0.25,0.25,0.05
compact_workstation,A800 40GB,20000,40,7,300,2,1,10752,Ampere,4,46.05,4.94,41.67,100.0,33.6,66.67,75.0,0.2,0.15,0.1,0.25,0.25,0.05
compact_workstation,A40,4500,48,7,300,2,0,10752,Ampere,4,48.21,21.96,50.0,100.0,33.6,66.67,25.0,0.2,0.15,0.1,0.25,0.25,0.05
compact_workstation,H100 PCIe 80GB,30000,80,7,350,2,0,16896,Hopper,5,54.02,5.18,83.33,100.0,45.26,66.67,50.0,0.2,0.15,0.1,0.25,0.25,0.05
compact_workstation,H800 PCIe 80GB,30000,80,7,350,2,0,14592,Hopper,5,52.33,4.47,83.33,100.0,39.09,66.67,50.0,0.2,0.15,0.1,0.25,0.25,0.05
compact_workstation,T1000 8GB,280,8,0,50,1,0,896,Turing,3,36.33,29.41,8.33,0.0,16.8,100.0,0.0,0.2,0.15,0.1,0.25,0.25,0.05
compact_workstation,T1000 4GB,250,4,0,50,1,0,896,Turing,3,36.41,32.94,4.17,0.0,16.8,100.0,0.0,0.2,0.15,0.1,0.25,0.25,0.05
compact_workstation,T600,150,4,0,40,1,0,640,Turing,3,37.22,39.22,4.17,0.0,15.0,100.0,0.0,0.2,0.15,0.1,0.25,0.25,0.05
compact_workstation,T400,120,2,0,30,1,0,512,Turing,3,37.16,39.22,2.08,0.0,16.0,100.0,0.0,0.2,0.15,0.1,0.25,0.25,0.05
compact_workstation,L4,3500,24,7,72,1,0,7680,Ada,4,69.03,20.17,25.0,100.0,100.0,100.0,25.0,0.2,0.15,0.1,0.25,0.25,0.05
compact_workstation,A2,2800,16,7,60,1,0,3584,Ampere,4,55.1,11.76,16.67,100.0,56.0,100.0,25.0,0.2,0.15,0.1,0.25,0.25,0.05
compact_workstation,RTX 4090,1650,24,0,450,3,0,16384,Ada,4,40.12,91.27,25.0,0.0,34.13,33.33,25.0,0.2,0.15,0.1,0.25,0.25,0.05
compact_workstation,RTX 5090,2000,32,0,575,2,0,21760,Blackwell,5,53.04,100.0,33.33,0.0,35.48,66.67,50.0,0.2,0.15,0.1,0.25,0.25,0.05
compact_workstation,RTX PRO 6000 Blackwell,8900,96,4,400,2,1,20480,Blackwell,5,58.61,21.15,100.0,57.14,48.0,66.67,100.0,0.2,0.15,0.1,0.25,0.25,0.05
compact_workstation,RTX PRO 5000 Blackwell,6000,48,4,320,2,0,15360,Blackwell,5,48.34,23.53,50.0,57.14,45.0,66.67,50.0,0.2,0.15,0.1,0.25,0.25,0.05
compact_workstation,RTX PRO 4500 Blackwell,4000,32,4,250,2,0,10240,Blackwell,5,44.19,23.53,33.33,57.14,38.4,66.67,50.0,0.2,0.15,0.1,0.25,0.25,0.05
compact_workstation,RTX PRO 4000 Blackwell,2500,24,4,180,2,0,7680,Blackwell,5,44.28,28.24,25.0,57.14,40.0,66.67,50.0,0.2,0.15,0.1,0.25,0.25,0.05
